Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
5,20,2,32,variance,sum_7yr_GP,13226.4329741,12179.1795441
8,20,2,32,variance,sum_7yr_GP,13155.385826,12300.6119074
10,20,2,32,variance,sum_7yr_GP,13177.0252299,12179.0675638
15,20,2,32,variance,sum_7yr_GP,13119.2371801,12258.8838962
23,20,2,32,variance,sum_7yr_GP,13044.3982686,12179.2372257
2,2,2,64,variance,sum_7yr_GP,13403.2586547,12433.8981852
5,2,2,64,variance,sum_7yr_GP,13255.036092,12238.4086007
8,2,2,64,variance,sum_7yr_GP,13220.7102882,12160.0517024
10,2,2,64,variance,sum_7yr_GP,13210.6492893,12198.5870977
15,2,2,64,variance,sum_7yr_GP,13192.7109085,12218.4280847
23,2,2,64,variance,sum_7yr_GP,13179.8072753,12179.1001745
2,5,2,64,variance,sum_7yr_GP,13380.3063208,12433.816752
5,5,2,64,variance,sum_7yr_GP,13235.4937648,12198.5673492
8,5,2,64,variance,sum_7yr_GP,13185.7339013,12258.8389137
10,5,2,64,variance,sum_7yr_GP,13162.4851425,12258.8715984
15,5,2,64,variance,sum_7yr_GP,13110.9449301,12179.1166101
23,5,2,64,variance,sum_7yr_GP,13049.3130814,12141.2138389
2,8,2,64,variance,sum_7yr_GP,13380.3063208,12433.816752
5,8,2,64,variance,sum_7yr_GP,13235.4937648,12198.5673492
8,8,2,64,variance,sum_7yr_GP,13185.7339013,12258.8389137
10,8,2,64,variance,sum_7yr_GP,13162.4851425,12258.8715984
15,8,2,64,variance,sum_7yr_GP,13110.9449301,12179.1166101
23,8,2,64,variance,sum_7yr_GP,13049.3130814,12141.2138389
2,10,2,64,variance,sum_7yr_GP,13380.3063208,12433.816752
5,10,2,64,variance,sum_7yr_GP,13235.4937648,12198.5673492
8,10,2,64,variance,sum_7yr_GP,13185.7339013,12258.8389137
10,10,2,64,variance,sum_7yr_GP,13162.4851425,12258.8715984
15,10,2,64,variance,sum_7yr_GP,13110.9449301,12179.1166101
23,10,2,64,variance,sum_7yr_GP,13049.3130814,12141.2138389
2,15,2,64,variance,sum_7yr_GP,13380.3063208,12433.816752
5,15,2,64,variance,sum_7yr_GP,13235.4937648,12198.5673492
8,15,2,64,variance,sum_7yr_GP,13185.7339013,12258.8389137
10,15,2,64,variance,sum_7yr_GP,13162.4851425,12258.8715984
15,15,2,64,variance,sum_7yr_GP,13110.9449301,12179.1166101
23,15,2,64,variance,sum_7yr_GP,13049.3130814,12141.2138389
2,20,2,64,variance,sum_7yr_GP,13380.3063208,12433.816752
5,20,2,64,variance,sum_7yr_GP,13235.4937648,12198.5673492
8,20,2,64,variance,sum_7yr_GP,13185.7339013,12258.8389137
10,20,2,64,variance,sum_7yr_GP,13162.4851425,12258.8715984
15,20,2,64,variance,sum_7yr_GP,13110.9449301,12179.1166101
23,20,2,64,variance,sum_7yr_GP,13049.3130814,12141.2138389
2,2,2,128,variance,sum_7yr_GP,13387.6848103,12376.9533143
5,2,2,128,variance,sum_7yr_GP,13263.0193297,12290.0637929
8,2,2,128,variance,sum_7yr_GP,13231.1383225,12198.5644302
10,2,2,128,variance,sum_7yr_GP,13220.2619052,12238.4512646
15,2,2,128,variance,sum_7yr_GP,13191.6640156,12179.1245494
23,2,2,128,variance,sum_7yr_GP,13177.4527978,12160.0523099
2,5,2,128,variance,sum_7yr_GP,13389.5697681,12388.1566355
5,5,2,128,variance,sum_7yr_GP,13245.0154514,12238.4255587
8,5,2,128,variance,sum_7yr_GP,13190.7106558,12279.5903396
10,5,2,128,variance,sum_7yr_GP,13163.1763816,12208.3930187
15,5,2,128,variance,sum_7yr_GP,13123.185225,12160.0065715
23,5,2,128,variance,sum_7yr_GP,13059.6192863,12169.5563051
2,8,2,128,variance,sum_7yr_GP,13389.5697681,12388.1566355
5,8,2,128,variance,sum_7yr_GP,13245.0154514,12238.4255587
8,8,2,128,variance,sum_7yr_GP,13190.7106558,12279.5903396
10,8,2,128,variance,sum_7yr_GP,13163.1763816,12208.3930187
15,8,2,128,variance,sum_7yr_GP,13123.185225,12160.0065715
23,8,2,128,variance,sum_7yr_GP,13059.6192863,12169.5563051
2,10,2,128,variance,sum_7yr_GP,13389.5697681,12388.1566355
5,10,2,128,variance,sum_7yr_GP,13245.0154514,12238.4255587
8,10,2,128,variance,sum_7yr_GP,13190.7106558,12279.5903396
10,10,2,128,variance,sum_7yr_GP,13163.1763816,12208.3930187
15,10,2,128,variance,sum_7yr_GP,13123.185225,12160.0065715
23,10,2,128,variance,sum_7yr_GP,13059.6192863,12169.5563051
2,15,2,128,variance,sum_7yr_GP,13389.5697681,12388.1566355
5,15,2,128,variance,sum_7yr_GP,13245.0154514,12238.4255587
8,15,2,128,variance,sum_7yr_GP,13190.7106558,12279.5903396
10,15,2,128,variance,sum_7yr_GP,13163.1763816,12208.3930187
15,15,2,128,variance,sum_7yr_GP,13123.185225,12160.0065715
23,15,2,128,variance,sum_7yr_GP,13059.6192863,12169.5563051
2,20,2,128,variance,sum_7yr_GP,13389.5697681,12388.1566355
5,20,2,128,variance,sum_7yr_GP,13245.0154514,12238.4255587
8,20,2,128,variance,sum_7yr_GP,13190.7106558,12279.5903396
10,20,2,128,variance,sum_7yr_GP,13163.1763816,12208.3930187
15,20,2,128,variance,sum_7yr_GP,13123.185225,12160.0065715
23,20,2,128,variance,sum_7yr_GP,13059.6192863,12169.5563051
