Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
10,2,2,128,gini,GP_greater_than_0,63.42229199372057,56.54450261780105
15,2,2,128,gini,GP_greater_than_0,63.26530612244898,57.06806282722513
23,2,2,128,gini,GP_greater_than_0,63.42229199372057,56.54450261780105
2,5,2,128,gini,GP_greater_than_0,70.48665620094191,61.25654450261781
5,5,2,128,gini,GP_greater_than_0,82.26059654631082,68.06282722513089
8,5,2,128,gini,GP_greater_than_0,80.84772370486655,63.35078534031413
10,5,2,128,gini,GP_greater_than_0,82.10361067503925,64.92146596858639
15,5,2,128,gini,GP_greater_than_0,80.3767660910518,64.3979057591623
23,5,2,128,gini,GP_greater_than_0,79.90580847723704,63.87434554973822
2,8,2,128,gini,GP_greater_than_0,90.73783359497645,66.49214659685863
5,8,2,128,gini,GP_greater_than_0,93.72056514913658,67.5392670157068
8,8,2,128,gini,GP_greater_than_0,93.09262166405023,66.49214659685863
10,8,2,128,gini,GP_greater_than_0,92.93563579277865,66.49214659685863
15,8,2,128,gini,GP_greater_than_0,93.56357927786499,67.5392670157068
23,8,2,128,gini,GP_greater_than_0,92.77864992150707,64.92146596858639
2,10,2,128,gini,GP_greater_than_0,96.07535321821035,68.06282722513089
5,10,2,128,gini,GP_greater_than_0,97.64521193092621,68.58638743455498
8,10,2,128,gini,GP_greater_than_0,97.8021978021978,67.01570680628272
10,10,2,128,gini,GP_greater_than_0,98.43014128728414,67.5392670157068
15,10,2,128,gini,GP_greater_than_0,98.27315541601256,69.10994764397905
23,10,2,128,gini,GP_greater_than_0,97.95918367346938,67.01570680628272
2,15,2,128,gini,GP_greater_than_0,100.0,69.63350785340315
5,15,2,128,gini,GP_greater_than_0,100.0,68.58638743455498
8,15,2,128,gini,GP_greater_than_0,100.0,67.5392670157068
10,15,2,128,gini,GP_greater_than_0,100.0,68.06282722513089
15,15,2,128,gini,GP_greater_than_0,100.0,66.49214659685863
23,15,2,128,gini,GP_greater_than_0,100.0,69.10994764397905
2,20,2,128,gini,GP_greater_than_0,100.0,67.5392670157068
5,20,2,128,gini,GP_greater_than_0,100.0,67.5392670157068
8,20,2,128,gini,GP_greater_than_0,100.0,68.06282722513089
10,20,2,128,gini,GP_greater_than_0,100.0,66.49214659685863
15,20,2,128,gini,GP_greater_than_0,100.0,68.06282722513089
23,20,2,128,gini,GP_greater_than_0,100.0,67.01570680628272
